0 ||| s c h o n ||| -0.00747728097637 -0.00177333721663 -0.00190550111637 -0.000991283390366 -0.000382655671277 0.0 -2.43388718367 ||| -0.020634
0 ||| s c h o ||| -7.41665296068 -7.65257791015 -8.70565168977 -8.10994693073 -9.04486322958 0.0 -99.0 ||| -8.923291
0 ||| s c h o r ||| -5.90576189898 -10.1201478599 -9.44412831933 -11.1946202478 -9.65135330896 0.0 -99.0 ||| -10.000554
1 ||| w o c h e n e n d e ||| -2.44203469316 -2.97001143172 -0.0857402236309 -5.85442035696 -1.25564772731 0.0 -4.03117850423 ||| -2.551595
1 ||| w o c h e n e ||| -6.36954247932 -10.016524764 -5.08386247154 -1.98601671367 -1.05895993731 -1.0 -99.0 ||| -6.181291
1 ||| w o c h e n e n d i ||| -8.20582739434 -9.08529049352 -4.20308978247 -12.7949228376 -6.28820718124 0.0 -99.0 ||| -8.852820
2 ||| g l a u b e | e s ||| -0.026113791275 -0.0129413666925 -0.0147346880492 -0.0297058489211 -0.0141872442108 0.0 -3.34623132984 ||| -0.044459
2 ||| g l a u b s ||| -6.3865754075 -7.51038290137 -4.40550082269 -8.02418591342 -7.38706253698 0.0 -99.0 ||| -7.480094
2 ||| g l a u b e | e i n ||| -5.20603517095 -7.19653124763 -9.77762296 -9.94897991766 -12.5344517456 0.0 -7.43188966066 ||| -8.988077
3 ||| j e t z t ||| -0.000289941813017 -0.00437360108704 -0.0006756364092 -0.00085872572275 -0.00058766815251 0.0 -2.60204151273 ||| -0.020737
3 ||| j e t z ||| -12.5760374841 -6.99009049892 -10.932143633 -7.99241674041 -11.5515401035 0.0 -99.0 ||| -10.745798
3 ||| j a t z t ||| -11.7187226958 -10.6273317923 -10.8353850883 -10.3481356966 -9.07283820251 0.0 -99.0 ||| -11.257835
4 ||| h a b e | i c h ||| -0.00357245767085 -0.00820255884608 -0.00169771106347 -0.00417796035657 -0.00172989150089 0.0 -2.58727084193 ||| -0.023146
4 ||| h a b e | e i n ||| -8.14861828901 -11.4900555196 -9.79632755561 -6.5231168655 -9.02904233311 0.0 -7.00120759755 ||| -9.049577
4 ||| h a b e | i h ||| -11.4769331461 -11.5800390475 -9.14089848295 -8.83781271448 -8.95766393053 0.0 -7.94449582696 ||| -10.057840
5 ||| h a s t ||| -0.00188129274319 -0.00316032211011 -0.0034136372819 -0.000475466402169 -0.00289508223807 -1.0 -2.75603714585 ||| -0.563850
